freq,c_resid,nace_r2,month,unit,geo\TIME_PERIOD,2020,2021,2022,2023,2024
A,DOM,I551-I553,M04,NR,ITC3,51960.0,168258.0,645856.0,758923.0,628155.0
A,DOM,I551-I553,M04,NR,ITC4,129983.0,569283.0,1272208.0,1325449.0,1277905.0
A,DOM,I551-I553,M04,NR,ITF1,16113.0,55659.0,163104.0,202451.0,216488.0
A,DOM,I551-I553,M04,NR,ITF2,2855.0,10414.0,20342.0,18248.0,17333.0
A,DOM,I551-I553,M04,NR,ITF3,31632.0,119500.0,617366.0,789201.0,697131.0
A,DOM,I551-I553,M04,NR,ITF4,59679.0,104671.0,339405.0,389449.0,370536.0
A,DOM,I551-I553,M04,NR,ITF5,3516.0,21194.0,77472.0,106315.0,98386.0
A,DOM,I551-I553,M04,NR,ITF6,8746.0,54360.0,77440.0,94631.0,126834.0
A,DOM,I551-I553,M04,NR,ITG1,33470.0,118147.0,412672.0,501855.0,517774.0
A,DOM,I551-I553,M04,NR,ITG2,15304.0,45545.0,152542.0,210164.0,173167.0
A,DOM,I551-I553,M04,NR,ITH1,19277.0,76240.0,222555.0,251712.0,206165.0
A,DOM,I551-I553,M04,NR,ITH2,16126.0,62513.0,263104.0,317904.0,245777.0
A,DOM,I551-I553,M04,NR,ITH3,156971.0,509936.0,1451751.0,1620631.0,1467135.0
A,DOM,I551-I553,M04,NR,ITH4,24613.0,93135.0,222616.0,268315.0,254194.0
A,DOM,I551-I553,M04,NR,ITH5,145837.0,438559.0,1482667.0,1790676.0,1601196.0
A,DOM,I551-I553,M04,NR,ITI1,143745.0,374259.0,1293963.0,1465271.0,1185485.0
A,DOM,I551-I553,M04,NR,ITI2,14273.0,69477.0,352122.0,448330.0,388794.0
A,DOM,I551-I553,M04,NR,ITI3,112559.0,175536.0,365715.0,437923.0,352382.0
A,DOM,I551-I553,M04,NR,ITI4,23778.0,336036.0,1559019.0,1373499.0,1388559.0
A,DOM,I551-I553,M05,NR,ITC1,135862.0,381792.0,686795.0,526356.0,529513.0
A,DOM,I551-I553,M05,NR,ITC2,3201.0,19209.0,42011.0,40099.0,45828.0
A,DOM,I551-I553,M05,NR,ITC3,88842.0,510472.0,626614.0,550095.0,617333.0
A,DOM,I551-I553,M05,NR,ITC4,298259.0,905453.0,1305882.0,1188584.0,1218541.0
A,DOM,I551-I553,M05,NR,ITF1,27693.0,115849.0,169849.0,202208.0,255730.0
A,DOM,I551-I553,M05,NR,ITF2,3348.0,16478.0,18929.0,18915.0,26841.0
A,DOM,I551-I553,M05,NR,ITF3,60784.0,309532.0,677400.0,751223.0,766879.0
A,DOM,I551-I553,M05,NR,ITF4,59598.0,228809.0,410394.0,412528.0,444759.0
A,DOM,I551-I553,M05,NR,ITF5,10468.0,38071.0,88677.0,108006.0,130243.0
A,DOM,I551-I553,M05,NR,ITF6,16342.0,83992.0,104365.0,159423.0,175991.0
A,DOM,I551-I553,M05,NR,ITG1,56580.0,217749.0,540603.0,565902.0,626098.0
A,DOM,I551-I553,M05,NR,ITG2,23837.0,105805.0,255932.0,290343.0,284085.0
A,DOM,I551-I553,M05,NR,ITH1,43188.0,175967.0,178634.0,158347.0,170375.0
A,DOM,I551-I553,M05,NR,ITH2,40574.0,183179.0,231267.0,205069.0,215213.0
A,DOM,I551-I553,M05,NR,ITH3,304871.0,1187265.0,1483031.0,1376413.0,1416667.0
A,DOM,I551-I553,M05,NR,ITH4,54576.0,186612.0,284063.0,311685.0,282711.0
A,DOM,I551-I553,M05,NR,ITH5,282874.0,1046670.0,1745423.0,1447555.0,1755718.0
A,DOM,I551-I553,M05,NR,ITI1,218971.0,975257.0,1315872.0,1226931.0,1231294.0
A,DOM,I551-I553,M05,NR,ITI2,26253.0,161226.0,295084.0,321474.0,342378.0
A,DOM,I551-I553,M05,NR,ITI3,135147.0,344270.0,420133.0,427863.0,431265.0
A,DOM,I551-I553,M05,NR,ITI4,79430.0,652918.0,1480872.0,1310808.0,1463457.0
A,DOM,I551-I553,M06,NR,ITC1,330892.0,556700.0,657762.0,630315.0,588799.0
A,DOM,I551-I553,M06,NR,ITC2,45964.0,90887.0,137056.0,142116.0,126092.0
A,DOM,I551-I553,M06,NR,ITC3,584172.0,1111082.0,1192071.0,1100487.0,1041938.0
A,DOM,I551-I553,M06,NR,ITC4,591612.0,1181618.0,1489166.0,1345040.0,1345209.0
A,DOM,I551-I553,M06,NR,ITF1,207790.0,517496.0,683858.0,762159.0,796316.0
A,DOM,I551-I553,M06,NR,ITF2,18796.0,43575.0,40061.0,45875.0,41651.0
A,DOM,I551-I553,M06,NR,ITF3,341639.0,853307.0,1096111.0,1148673.0,1105058.0
A,DOM,I551-I553,M06,NR,ITF4,502404.0,1209230.0,1553136.0,1547516.0,1560361.0
A,DOM,I551-I553,M06,NR,ITF5,77408.0,166629.0,249469.0,257487.0,258654.0
A,DOM,I551-I553,M06,NR,ITF6,134325.0,444697.0,678517.0,719375.0,851438.0
A,DOM,I551-I553,M06,NR,ITG1,215168.0,739382.0,1007210.0,1011681.0,1033597.0
A,DOM,I551-I553,M06,NR,ITG2,194400.0,726814.0,1191858.0,1162198.0,1209621.0
A,DOM,I551-I553,M06,NR,ITH1,305390.0,577437.0,614965.0,581712.0,534245.0
A,DOM,I551-I553,M06,NR,ITH2,251414.0,633658.0,771407.0,753257.0,716224.0
A,DOM,I551-I553,M06,NR,ITH3,1626303.0,3022366.0,3066678.0,2930249.0,2829111.0
A,DOM,I551-I553,M06,NR,ITH4,216877.0,420782.0,529010.0,500499.0,470055.0
A,DOM,I551-I553,M06,NR,ITH5,1669034.0,3650624.0,4680949.0,4463651.0,4548102.0
A,DOM,I551-I553,M06,NR,ITI1,1279343.0,2607888.0,2889490.0,2726504.0,2510596.0
A,DOM,I551-I553,M06,NR,ITI2,144818.0,301423.0,378131.0,383252.0,379660.0
A,DOM,I551-I553,M06,NR,ITI3,537038.0,1108071.0,1323889.0,1254850.0,1188075.0
