freq,unit,sex,age,icd10,geo\TIME_PERIOD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,RT,F,TOTAL,ACC,ITF2,35.99,43.6,37.33,33.02,35.11,43.6,37.59,36.09,39.14,41.72,60.49,54.87,52.56
A,RT,F,TOTAL,ACC,ITF3,21.6,24.64,23.56,22.74,25.56,24.3,28.09,25.68,25.8,27.01,30.27,31.84,30.85
A,RT,F,TOTAL,ACC,ITF4,27.07,27.25,29.09,26.3,27.31,28.7,29.49,27.12,29.67,29.87,33.82,35.31,35.18
A,RT,F,TOTAL,ACC,ITF5,30.38,35.65,31.57,26.82,34.11,42.92,32.16,30.76,38.23,38.69,39.5,42.77,42.8
A,RT,F,TOTAL,ACC,ITF6,29.79,29.47,27.94,30.31,30.71,32.34,33.2,33.99,33.7,35.12,38.43,39.27,37.13
A,RT,F,TOTAL,ACC,ITG1,27.04,26.3,25.97,26.43,28.66,25.67,31.24,30.06,30.21,30.41,31.29,34.68,33.98
A,RT,F,TOTAL,ACC,ITG2,25.91,29.48,31.29,28.75,27.88,26.92,29.65,27.18,31.61,33.83,38.87,43.66,39.55
A,RT,F,TOTAL,ACC,ITH1,28.4,25.63,19.61,24.42,23.54,28.34,28.18,23.93,21.6,27.85,25.65,35.32,34.8
A,RT,F,TOTAL,ACC,ITH2,23.67,23.68,18.69,21.13,22.92,21.82,29.45,27.9,28.5,28.94,24.73,30.55,27.58
A,RT,F,TOTAL,ACC,ITH3,22.15,23.23,22.11,22.85,23.43,22.22,24.29,25.19,28.3,26.13,28.91,33.24,29.08
A,RT,F,TOTAL,ACC,ITH4,32.05,28.2,29.37,29.82,28.35,32.11,28.71,31.1,25.94,36.27,36.66,36.3,30.44
A,RT,F,TOTAL,ACC,ITH5,28.7,27.54,28.01,26.81,28.94,29.27,31.08,29.83,30.13,31.07,34.27,34.54,31.57
A,RT,F,TOTAL,ACC,ITI1,32.97,31.81,29.16,27.16,30.89,32.4,35.22,36.13,32.03,34.15,36.83,38.5,37.02
A,RT,F,TOTAL,ACC,ITI2,23.31,29.1,25.0,24.67,31.43,33.28,37.35,31.38,33.9,35.41,37.02,37.26,37.42
A,RT,F,TOTAL,ACC,ITI3,30.5,34.41,32.4,28.98,31.95,35.0,38.84,38.36,35.04,37.78,37.51,44.18,33.64
A,RT,F,TOTAL,ACC,ITI4,31.54,32.43,28.76,29.61,31.6,38.09,35.02,36.0,34.95,36.6,35.33,40.03,36.68
A,RT,F,TOTAL,ACC_OTH,ITC1,14.33,14.21,15.15,14.21,14.57,14.73,17.27,16.12,15.04,17.14,16.08,17.52,15.85
