flu_season,year_week,region,number_healthcare_workers,number_cases,population,incidence,cases_0-4,inc_0-4,cases_5-14,inc_5-14,cases_15-64,inc_15-64,cases_65+,inc_65+
2011-2012,2012-01,Piedmont,40.0,299.0,53324.0,5.61,21.0,7.56,33.0,5.87,204.0,6.27,41.0,3.31
2011-2012,2012-01,Aosta Valley,7.0,23.0,9475.0,2.43,3.0,3.91,2.0,1.75,15.0,2.71,3.0,1.48
2011-2012,2012-01,Lombardy,122.0,409.0,172450.0,2.37,58.0,4.46,53.0,2.35,255.0,2.53,43.0,1.19
2011-2012,2012-01,AP Bolzano,8.0,29.0,13674.0,2.12,2.0,5.0,3.0,2.33,24.0,2.63,0.0,0.0
2011-2012,2012-01,AP Trento,11.0,46.0,14293.0,3.22,13.0,12.38,9.0,3.0,22.0,2.84,2.0,0.8
2011-2012,2012-01,Veneto,76.0,200.0,99447.0,2.01,17.0,2.34,17.0,1.22,125.0,2.19,41.0,1.94
2011-2012,2012-01,Friuli-Venezia Giulia,15.0,26.0,18985.0,1.37,3.0,1.49,3.0,0.89,17.0,1.77,3.0,0.76
2011-2012,2012-01,Liguria,35.0,63.0,42834.0,1.47,19.0,7.55,8.0,1.82,29.0,1.17,7.0,0.63
2011-2012,2012-01,Emilia-Romagna,62.0,269.0,80350.0,3.35,50.0,7.22,57.0,4.28,136.0,3.14,26.0,1.55
2011-2012,2012-01,Tuscany,43.0,201.0,54176.0,3.71,15.0,5.2,28.0,4.76,134.0,4.15,24.0,1.82
2011-2012,2012-01,Umbria,13.0,36.0,16705.0,2.16,8.0,6.41,14.0,5.41,9.0,0.99,5.0,1.34
2011-2012,2012-01,Marche,17.0,43.0,20853.0,2.06,7.0,2.72,5.0,1.01,23.0,2.4,8.0,2.11
2011-2012,2012-01,Lazio,63.0,267.0,81360.0,3.28,47.0,8.88,52.0,5.18,147.0,2.92,21.0,1.34
2011-2012,2012-01,Abruzzo,19.0,46.0,18136.0,2.54,12.0,6.04,9.0,2.19,16.0,1.81,9.0,2.82
2011-2012,2012-01,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,2012-01,Campania,63.0,380.0,76497.0,4.97,54.0,8.79,79.0,5.71,205.0,4.62,42.0,3.45
2011-2012,2012-01,Apulia,107.0,145.0,138864.0,1.04,16.0,2.25,15.0,1.0,101.0,1.11,13.0,0.51
2011-2012,2012-01,Basilicata,1.0,1.0,1511.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.08
2011-2012,2012-01,Calabria,11.0,32.0,15114.0,2.12,6.0,4.83,11.0,4.44,12.0,1.36,3.0,1.16
2011-2012,2012-01,Sicily,49.0,236.0,64828.0,3.64,18.0,11.89,15.0,4.17,174.0,3.77,29.0,2.14
2011-2012,2012-01,Sardinia,6.0,27.0,6131.0,4.4,2.0,2.53,4.0,2.24,12.0,4.94,9.0,8.03
2011-2012,2012-02,Piedmont,37.0,325.0,48126.0,6.75,26.0,9.44,35.0,6.41,218.0,7.55,46.0,4.17
2011-2012,2012-02,Aosta Valley,6.0,25.0,8594.0,2.91,3.0,7.75,2.0,3.11,17.0,3.07,3.0,1.48
2011-2012,2012-02,Lombardy,136.0,671.0,189595.0,3.54,121.0,8.37,82.0,3.23,393.0,3.57,75.0,1.88
2011-2012,2012-02,AP Bolzano,8.0,37.0,13895.0,2.66,13.0,18.36,5.0,2.03,15.0,1.83,4.0,1.6
2011-2012,2012-02,AP Trento,12.0,112.0,15824.0,7.08,20.0,18.0,42.0,14.54,45.0,5.06,5.0,1.7
2011-2012,2012-02,Veneto,79.0,300.0,102254.0,2.93,28.0,3.86,33.0,2.36,204.0,3.46,35.0,1.59
2011-2012,2012-02,Friuli-Venezia Giulia,16.0,28.0,22079.0,1.27,2.0,2.06,1.0,0.39,20.0,1.52,5.0,0.93
2011-2012,2012-02,Liguria,40.0,116.0,49345.0,2.35,16.0,5.38,22.0,4.39,68.0,2.37,10.0,0.79
2011-2012,2012-02,Emilia-Romagna,75.0,471.0,98258.0,4.79,72.0,10.42,66.0,4.87,284.0,5.03,49.0,2.3
2011-2012,2012-02,Tuscany,42.0,274.0,53112.0,5.16,20.0,9.33,40.0,7.28,163.0,5.01,51.0,3.94
2011-2012,2012-02,Umbria,13.0,43.0,15583.0,2.76,10.0,6.58,18.0,5.57,14.0,1.82,1.0,0.32
2011-2012,2012-02,Marche,15.0,77.0,18119.0,4.25,11.0,4.34,14.0,2.78,40.0,5.17,12.0,4.26
2011-2012,2012-02,Lazio,68.0,425.0,87029.0,4.88,67.0,12.74,74.0,7.21,251.0,4.6,33.0,1.95
2011-2012,2012-02,Abruzzo,15.0,25.0,13083.0,1.91,12.0,5.95,6.0,1.66,5.0,0.93,2.0,0.97
2011-2012,2012-02,Molise,13.0,54.0,15369.0,3.51,14.0,9.7,19.0,6.24,18.0,2.43,3.0,0.87
2011-2012,2012-02,Campania,47.0,392.0,55356.0,7.08,99.0,14.78,100.0,7.19,158.0,5.92,35.0,4.33
2011-2012,2012-02,Apulia,120.0,271.0,153318.0,1.77,45.0,4.65,45.0,2.35,156.0,1.61,25.0,0.9
2011-2012,2012-02,Basilicata,1.0,4.0,1511.0,2.65,0.0,0.0,0.0,0.0,4.0,3.41,0.0,0.0
2011-2012,2012-02,Calabria,13.0,48.0,17371.0,2.76,7.0,3.81,12.0,3.03,23.0,2.55,6.0,2.37
2011-2012,2012-02,Sicily,47.0,286.0,60222.0,4.75,13.0,8.8,31.0,9.25,188.0,4.4,54.0,4.25
2011-2012,2012-02,Sardinia,6.0,13.0,5412.0,2.4,8.0,7.77,3.0,1.33,2.0,1.41,0.0,0.0
2011-2012,2012-03,Piedmont,40.0,411.0,53039.0,7.75,69.0,20.38,72.0,11.81,227.0,7.1,43.0,3.72
2011-2012,2012-03,Aosta Valley,7.0,37.0,9432.0,3.92,4.0,5.21,7.0,6.15,17.0,3.11,9.0,4.36
2011-2012,2012-03,Lombardy,144.0,1187.0,200217.0,5.93,304.0,17.6,342.0,11.72,474.0,4.19,67.0,1.65
2011-2012,2012-03,AP Bolzano,10.0,67.0,16699.0,4.01,12.0,17.19,21.0,8.44,33.0,3.17,1.0,0.32
2011-2012,2012-03,AP Trento,14.0,197.0,18606.0,10.59,56.0,39.19,73.0,20.66,61.0,5.88,7.0,2.14
2011-2012,2012-03,Veneto,77.0,547.0,99328.0,5.51,145.0,19.97,108.0,7.74,248.0,4.36,46.0,2.16
2011-2012,2012-03,Friuli-Venezia Giulia,18.0,50.0,24106.0,2.07,14.0,6.89,5.0,1.39,26.0,1.99,5.0,0.93
2011-2012,2012-03,Liguria,38.0,152.0,45576.0,3.34,36.0,14.22,35.0,7.73,69.0,2.58,12.0,1.02
2011-2012,2012-03,Emilia-Romagna,75.0,744.0,97702.0,7.61,198.0,23.08,146.0,9.18,354.0,6.63,46.0,2.32
2011-2012,2012-03,Tuscany,44.0,373.0,55292.0,6.75,56.0,21.45,70.0,11.52,197.0,5.93,50.0,3.73
2011-2012,2012-03,Umbria,11.0,41.0,13855.0,2.96,9.0,9.42,19.0,9.23,12.0,1.58,1.0,0.31
2011-2012,2012-03,Marche,21.0,386.0,24294.0,15.89,192.0,48.19,117.0,16.12,68.0,7.3,9.0,2.41
2011-2012,2012-03,Lazio,70.0,660.0,89271.0,7.39,140.0,22.08,151.0,12.64,328.0,6.05,41.0,2.45
2011-2012,2012-03,Abruzzo,19.0,104.0,17945.0,5.8,29.0,11.89,47.0,10.6,18.0,2.21,10.0,3.41
2011-2012,2012-03,Molise,14.0,223.0,16130.0,13.83,79.0,41.27,87.0,25.44,40.0,5.44,17.0,4.95
2011-2012,2012-03,Campania,56.0,660.0,68954.0,9.57,158.0,22.14,214.0,15.15,252.0,6.6,36.0,3.78
2011-2012,2012-03,Apulia,116.0,519.0,150404.0,3.45,111.0,12.27,170.0,9.37,202.0,2.11,36.0,1.32
2011-2012,2012-03,Basilicata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,2012-03,Calabria,16.0,106.0,21005.0,5.05,20.0,8.99,41.0,9.1,39.0,3.56,6.0,1.81
2011-2012,2012-03,Sicily,49.0,305.0,65255.0,4.67,25.0,19.78,58.0,18.31,189.0,4.06,33.0,2.31
2011-2012,2012-03,Sardinia,7.0,89.0,6933.0,12.84,54.0,51.82,13.0,5.6,15.0,6.12,7.0,6.24
2011-2012,2012-04,Piedmont,41.0,541.0,53514.0,10.11,76.0,27.53,124.0,22.03,290.0,8.81,51.0,4.17
2011-2012,2012-04,Aosta Valley,7.0,58.0,8564.0,6.77,16.0,14.65,18.0,12.89,20.0,4.59,4.0,2.32
2011-2012,2012-04,Lombardy,144.0,1702.0,201626.0,8.44,421.0,25.83,491.0,16.95,696.0,6.05,94.0,2.27
2011-2012,2012-04,AP Bolzano,7.0,69.0,12129.0,5.69,17.0,28.19,15.0,6.85,35.0,4.84,2.0,0.95
2011-2012,2012-04,AP Trento,14.0,252.0,18382.0,13.71,96.0,67.18,75.0,20.84,73.0,7.21,8.0,2.48
2011-2012,2012-04,Veneto,77.0,921.0,100504.0,9.16,264.0,37.84,233.0,17.52,376.0,6.42,48.0,2.21
2011-2012,2012-04,Friuli-Venezia Giulia,19.0,64.0,25222.0,2.54,16.0,7.92,21.0,5.78,24.0,1.73,3.0,0.53
2011-2012,2012-04,Liguria,36.0,264.0,42053.0,6.28,60.0,23.71,86.0,19.1,108.0,4.48,10.0,0.92
2011-2012,2012-04,Emilia-Romagna,79.0,1136.0,104693.0,10.85,337.0,48.81,258.0,19.45,456.0,7.44,85.0,3.66
2011-2012,2012-04,Tuscany,48.0,408.0,60803.0,6.71,69.0,26.43,101.0,16.52,200.0,5.37,38.0,2.56
2011-2012,2012-04,Umbria,12.0,69.0,14718.0,4.69,13.0,10.41,32.0,12.67,22.0,2.82,2.0,0.64
2011-2012,2012-04,Marche,21.0,414.0,23383.0,17.71,136.0,41.0,162.0,24.62,103.0,10.28,13.0,3.75
2011-2012,2012-04,Lazio,70.0,1031.0,87789.0,11.74,252.0,39.77,273.0,23.73,457.0,8.63,49.0,2.88
2011-2012,2012-04,Abruzzo,20.0,221.0,19413.0,11.38,59.0,24.09,94.0,22.84,44.0,4.61,24.0,7.24
2011-2012,2012-04,Molise,13.0,215.0,15262.0,14.09,77.0,53.32,67.0,22.1,53.0,7.21,18.0,5.24
2011-2012,2012-04,Campania,70.0,1059.0,86487.0,12.24,281.0,33.67,319.0,18.47,401.0,8.37,58.0,4.48
2011-2012,2012-04,Apulia,116.0,717.0,151117.0,4.74,124.0,16.0,243.0,14.64,318.0,3.2,32.0,1.16
2011-2012,2012-04,Basilicata,1.0,7.0,1503.0,4.66,0.0,0.0,0.0,0.0,5.0,4.33,2.0,6.21
2011-2012,2012-04,Calabria,15.0,121.0,20465.0,5.91,36.0,23.47,38.0,11.0,44.0,3.65,3.0,0.87
2011-2012,2012-04,Sicily,46.0,379.0,62469.0,6.07,25.0,20.34,75.0,24.36,240.0,5.35,39.0,2.93
2011-2012,2012-04,Sardinia,6.0,20.0,5796.0,3.45,10.0,13.23,3.0,1.81,7.0,2.92,0.0,0.0
2011-2012,2012-05,Piedmont,43.0,566.0,56535.0,10.01,94.0,27.61,93.0,14.85,312.0,9.09,67.0,5.34
2011-2012,2012-05,Aosta Valley,5.0,85.0,7009.0,12.13,7.0,18.09,8.0,13.7,59.0,13.8,11.0,6.24
2011-2012,2012-05,Lombardy,140.0,1641.0,194992.0,8.42,376.0,23.27,423.0,15.04,730.0,6.61,112.0,2.79
2011-2012,2012-05,AP Bolzano,11.0,97.0,18794.0,5.16,19.0,31.4,14.0,5.94,61.0,4.97,3.0,0.84
2011-2012,2012-05,AP Trento,13.0,296.0,17018.0,17.39,123.0,86.07,86.0,24.53,73.0,7.89,14.0,4.94
2011-2012,2012-05,Veneto,79.0,1056.0,102254.0,10.33,244.0,33.61,248.0,17.71,484.0,8.2,80.0,3.64
2011-2012,2012-05,Friuli-Venezia Giulia,18.0,81.0,23409.0,3.46,22.0,10.89,18.0,5.15,34.0,2.68,7.0,1.34
2011-2012,2012-05,Liguria,37.0,313.0,43892.0,7.13,60.0,20.17,82.0,16.6,153.0,6.17,18.0,1.61
2011-2012,2012-05,Emilia-Romagna,72.0,1197.0,96474.0,12.41,280.0,39.86,281.0,20.63,557.0,10.15,79.0,3.77
2011-2012,2012-05,Tuscany,48.0,456.0,60918.0,7.49,64.0,20.06,108.0,16.22,236.0,6.42,48.0,3.35
2011-2012,2012-05,Umbria,13.0,142.0,15903.0,8.93,47.0,30.94,56.0,17.2,32.0,4.02,7.0,2.22
2011-2012,2012-05,Marche,17.0,384.0,20045.0,19.16,167.0,60.07,129.0,25.45,75.0,8.63,13.0,3.71
2011-2012,2012-05,Lazio,65.0,1125.0,82972.0,13.56,223.0,39.37,250.0,23.56,577.0,11.33,75.0,4.76
2011-2012,2012-05,Abruzzo,18.0,177.0,17763.0,9.96,53.0,27.72,78.0,20.61,39.0,4.35,7.0,2.26
2011-2012,2012-05,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,2012-05,Campania,29.0,601.0,34760.0,17.29,139.0,46.12,190.0,25.44,235.0,12.3,37.0,7.15
2011-2012,2012-05,Apulia,121.0,1028.0,157775.0,6.52,180.0,20.59,282.0,16.03,494.0,4.82,72.0,2.48
2011-2012,2012-05,Basilicata,1.0,14.0,1503.0,9.31,0.0,0.0,2.0,76.92,10.0,8.66,2.0,6.21
2011-2012,2012-05,Calabria,16.0,148.0,21348.0,6.93,42.0,18.88,63.0,13.75,39.0,3.42,4.0,1.28
2011-2012,2012-05,Sicily,43.0,377.0,58499.0,6.44,39.0,30.85,65.0,22.06,216.0,5.16,57.0,4.57
2011-2012,2012-05,Sardinia,8.0,61.0,7790.0,7.83,35.0,25.4,18.0,5.94,8.0,3.34,0.0,0.0
2011-2012,2012-06,Piedmont,39.0,485.0,50886.0,9.53,53.0,18.66,76.0,13.21,299.0,9.65,57.0,5.04
2011-2012,2012-06,Aosta Valley,4.0,76.0,5503.0,13.81,13.0,33.59,10.0,18.48,36.0,11.16,17.0,12.61
2011-2012,2012-06,Lombardy,136.0,1501.0,190177.0,7.89,287.0,19.42,357.0,13.65,731.0,6.69,126.0,3.16
2011-2012,2012-06,AP Bolzano,10.0,109.0,17057.0,6.39,21.0,34.71,28.0,11.95,57.0,5.24,3.0,0.93
2011-2012,2012-06,AP Trento,12.0,230.0,16048.0,14.33,51.0,45.9,52.0,18.42,109.0,11.93,18.0,6.04
2011-2012,2012-06,Veneto,78.0,1177.0,101385.0,11.61,239.0,34.78,258.0,19.07,577.0,9.78,103.0,4.68
2011-2012,2012-06,Friuli-Venezia Giulia,16.0,128.0,21147.0,6.05,41.0,20.29,39.0,11.23,41.0,3.7,7.0,1.53
2011-2012,2012-06,Liguria,38.0,278.0,44681.0,6.22,48.0,18.96,73.0,16.04,134.0,5.17,23.0,1.97
2011-2012,2012-06,Emilia-Romagna,71.0,910.0,93888.0,9.69,180.0,22.42,161.0,11.1,504.0,9.78,65.0,3.28
2011-2012,2012-06,Tuscany,45.0,384.0,57809.0,6.64,53.0,16.61,83.0,12.48,201.0,5.83,47.0,3.48
2011-2012,2012-06,Umbria,11.0,107.0,13261.0,8.07,25.0,20.02,44.0,17.98,33.0,4.91,5.0,1.76
2011-2012,2012-06,Marche,23.0,422.0,27222.0,15.5,116.0,29.39,148.0,21.72,122.0,10.22,36.0,7.95
2011-2012,2012-06,Lazio,70.0,1002.0,90516.0,11.07,176.0,29.97,209.0,18.38,551.0,9.9,66.0,3.75
2011-2012,2012-06,Abruzzo,19.0,167.0,17629.0,9.47,69.0,26.33,51.0,10.62,32.0,4.33,15.0,5.34
2011-2012,2012-06,Molise,10.0,82.0,12467.0,6.58,9.0,11.8,15.0,14.37,45.0,6.23,13.0,3.78
2011-2012,2012-06,Campania,66.0,983.0,81096.0,12.12,87.0,13.73,134.0,9.68,672.0,13.96,90.0,7.04
2011-2012,2012-06,Apulia,121.0,984.0,158196.0,6.22,157.0,19.79,228.0,13.57,519.0,5.0,80.0,2.7
2011-2012,2012-06,Basilicata,1.0,11.0,1511.0,7.28,0.0,0.0,0.0,0.0,11.0,9.38,0.0,0.0
2011-2012,2012-06,Calabria,13.0,131.0,17677.0,7.41,32.0,26.45,40.0,14.95,56.0,5.29,3.0,0.93
2011-2012,2012-06,Sicily,46.0,352.0,60753.0,5.79,22.0,17.27,56.0,15.79,225.0,5.25,49.0,3.75
2011-2012,2012-06,Sardinia,9.0,92.0,9266.0,9.93,27.0,19.78,40.0,13.22,24.0,7.04,1.0,0.68
2011-2012,2012-07,Piedmont,39.0,443.0,51949.0,8.53,53.0,23.51,67.0,13.51,275.0,8.41,48.0,3.99
2011-2012,2012-07,Aosta Valley,5.0,84.0,7009.0,11.98,12.0,31.01,9.0,15.41,45.0,10.53,18.0,10.2
2011-2012,2012-07,Lombardy,136.0,1213.0,191602.0,6.33,210.0,16.78,257.0,10.68,636.0,5.58,110.0,2.68
2011-2012,2012-07,AP Bolzano,10.0,132.0,16808.0,7.85,24.0,34.33,26.0,10.12,76.0,7.31,6.0,1.91
2011-2012,2012-07,AP Trento,14.0,236.0,18363.0,12.85,60.0,41.99,66.0,18.43,93.0,9.17,17.0,5.3
2011-2012,2012-07,Veneto,76.0,1068.0,98647.0,10.83,201.0,29.37,203.0,15.33,556.0,9.7,108.0,5.08
2011-2012,2012-07,Friuli-Venezia Giulia,16.0,105.0,21459.0,4.89,18.0,10.2,24.0,9.21,56.0,4.63,7.0,1.4
2011-2012,2012-07,Liguria,39.0,321.0,47260.0,6.79,52.0,20.55,68.0,14.97,172.0,6.21,29.0,2.32
2011-2012,2012-07,Emilia-Romagna,62.0,517.0,79964.0,6.47,117.0,18.07,128.0,10.89,228.0,5.16,44.0,2.51
2011-2012,2012-07,Tuscany,48.0,360.0,60233.0,5.98,43.0,16.47,59.0,9.72,210.0,5.73,48.0,3.22
2011-2012,2012-07,Umbria,11.0,92.0,12753.0,7.21,27.0,17.77,29.0,9.26,31.0,5.43,5.0,2.09
2011-2012,2012-07,Marche,13.0,119.0,15760.0,7.55,31.0,14.01,29.0,6.77,52.0,7.71,7.0,2.78
2011-2012,2012-07,Lazio,69.0,733.0,88399.0,8.29,115.0,22.18,115.0,11.19,454.0,8.2,49.0,2.79
2011-2012,2012-07,Abruzzo,18.0,88.0,16089.0,5.47,35.0,14.36,25.0,5.71,21.0,3.15,7.0,2.68
2011-2012,2012-07,Molise,16.0,98.0,18649.0,5.25,25.0,13.06,30.0,8.59,33.0,3.6,10.0,2.45
2011-2012,2012-07,Campania,40.0,443.0,50214.0,8.82,69.0,15.78,94.0,9.86,260.0,8.91,20.0,2.81
2011-2012,2012-07,Apulia,119.0,730.0,152428.0,4.79,110.0,12.22,177.0,9.81,380.0,3.88,63.0,2.29
2011-2012,2012-07,Basilicata,1.0,5.0,1511.0,3.31,0.0,0.0,0.0,0.0,2.0,1.71,3.0,9.23
2011-2012,2012-07,Calabria,13.0,107.0,16993.0,6.3,31.0,17.22,46.0,11.79,28.0,3.27,2.0,0.73
2011-2012,2012-07,Sicily,47.0,341.0,62212.0,5.48,27.0,21.34,44.0,13.8,222.0,5.04,48.0,3.51
2011-2012,2012-07,Sardinia,7.0,77.0,6706.0,11.48,16.0,15.55,38.0,16.7,17.0,7.05,6.0,6.06
2011-2012,2012-08,Piedmont,32.0,306.0,41588.0,7.36,22.0,14.7,36.0,10.61,216.0,8.02,32.0,3.28
2011-2012,2012-08,Aosta Valley,7.0,55.0,8521.0,6.45,13.0,11.9,10.0,7.19,27.0,6.32,5.0,2.83
2011-2012,2012-08,Lombardy,133.0,860.0,186634.0,4.61,170.0,11.43,173.0,6.83,438.0,4.06,79.0,2.04
2011-2012,2012-08,AP Bolzano,11.0,145.0,18794.0,7.72,17.0,28.1,24.0,10.18,98.0,7.99,6.0,1.69
2011-2012,2012-08,AP Trento,14.0,172.0,18363.0,9.37,41.0,28.69,49.0,13.68,70.0,6.9,12.0,3.74
2011-2012,2012-08,Veneto,68.0,736.0,87334.0,8.43,123.0,20.83,117.0,10.07,401.0,7.84,95.0,5.09
2011-2012,2012-08,Friuli-Venezia Giulia,16.0,124.0,21619.0,5.74,30.0,17.44,29.0,10.23,55.0,4.59,10.0,1.97
2011-2012,2012-08,Liguria,39.0,272.0,47642.0,5.71,33.0,13.03,52.0,11.45,152.0,5.4,35.0,2.81
2011-2012,2012-08,Emilia-Romagna,58.0,442.0,76990.0,5.74,86.0,16.84,108.0,10.91,210.0,4.7,38.0,2.19
2011-2012,2012-08,Tuscany,41.0,251.0,52985.0,4.74,21.0,8.05,53.0,8.79,148.0,4.69,29.0,2.27
2011-2012,2012-08,Umbria,13.0,93.0,16218.0,5.73,18.0,14.41,38.0,14.79,27.0,3.06,10.0,2.81
2011-2012,2012-08,Marche,13.0,142.0,16290.0,8.72,22.0,30.26,22.0,14.46,86.0,8.36,12.0,3.2
2011-2012,2012-08,Lazio,67.0,532.0,85733.0,6.21,93.0,15.8,91.0,8.06,310.0,5.88,38.0,2.4
2011-2012,2012-08,Abruzzo,19.0,80.0,17377.0,4.6,23.0,8.49,21.0,4.59,28.0,3.79,8.0,2.95
2011-2012,2012-08,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,2012-08,Campania,58.0,377.0,70522.0,5.35,64.0,10.18,74.0,5.45,214.0,5.42,25.0,2.24
2011-2012,2012-08,Apulia,106.0,570.0,136037.0,4.19,84.0,9.63,116.0,6.81,306.0,3.59,64.0,2.55
2011-2012,2012-08,Basilicata,1.0,11.0,1503.0,7.32,0.0,0.0,0.0,0.0,9.0,7.79,2.0,6.21
2011-2012,2012-08,Calabria,13.0,149.0,17272.0,8.63,40.0,21.29,56.0,14.44,44.0,4.9,9.0,3.55
2011-2012,2012-08,Sicily,45.0,333.0,57275.0,5.81,30.0,16.01,36.0,9.25,214.0,5.46,53.0,4.29
2011-2012,2012-08,Sardinia,8.0,122.0,8385.0,14.55,39.0,36.62,44.0,18.08,36.0,10.03,3.0,2.31
2011-2012,2012-09,Piedmont,35.0,273.0,45894.0,5.95,44.0,14.16,42.0,7.71,157.0,5.72,30.0,3.04
2011-2012,2012-09,Aosta Valley,6.0,32.0,7393.0,4.33,10.0,13.02,6.0,5.45,15.0,3.83,1.0,0.62
2011-2012,2012-09,Lombardy,133.0,860.0,186634.0,4.61,170.0,11.43,173.0,6.83,438.0,4.06,79.0,2.04
2011-2012,2012-09,AP Bolzano,9.0,88.0,15365.0,5.73,17.0,28.15,16.0,6.97,49.0,5.08,6.0,2.13
2011-2012,2012-09,AP Trento,8.0,62.0,11063.0,5.6,6.0,11.52,3.0,1.93,40.0,5.84,13.0,6.1
2011-2012,2012-09,Veneto,77.0,414.0,99764.0,4.15,45.0,6.2,50.0,3.59,261.0,4.55,58.0,2.72
2011-2012,2012-09,Friuli-Venezia Giulia,16.0,124.0,21619.0,5.74,30.0,17.44,29.0,10.23,55.0,4.59,10.0,1.97
2011-2012,2012-09,Liguria,39.0,272.0,47642.0,5.71,33.0,13.03,52.0,11.45,152.0,5.4,35.0,2.81
2011-2012,2012-09,Emilia-Romagna,53.0,352.0,71783.0,4.9,151.0,28.83,39.0,4.34,140.0,3.4,22.0,1.35
2011-2012,2012-09,Tuscany,41.0,251.0,52985.0,4.74,21.0,8.05,53.0,8.79,148.0,4.69,29.0,2.27
2011-2012,2012-09,Umbria,13.0,93.0,16218.0,5.73,18.0,14.41,38.0,14.79,27.0,3.06,10.0,2.81
2011-2012,2012-09,Marche,12.0,74.0,14326.0,5.17,12.0,6.46,14.0,3.75,42.0,6.48,6.0,2.66
2011-2012,2012-09,Lazio,60.0,410.0,73525.0,5.58,86.0,13.52,122.0,11.15,185.0,4.36,17.0,1.23
2011-2012,2012-09,Abruzzo,19.0,80.0,17377.0,4.6,23.0,8.49,21.0,4.59,28.0,3.79,8.0,2.95
2011-2012,2012-09,Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,2012-09,Campania,35.0,181.0,43281.0,4.18,35.0,9.75,42.0,5.36,96.0,3.8,8.0,1.22
2011-2012,2012-09,Apulia,106.0,570.0,136037.0,4.19,84.0,9.63,116.0,6.81,306.0,3.59,64.0,2.55
2011-2012,2012-09,Basilicata,1.0,0.0,1511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-2012,2012-09,Calabria,13.0,149.0,17272.0,8.63,40.0,21.29,56.0,14.44,44.0,4.9,9.0,3.55
2011-2012,2012-09,Sicily,45.0,333.0,57275.0,5.81,30.0,16.01,36.0,9.25,214.0,5.46,53.0,4.29
2011-2012,2012-09,Sardinia,7.0,115.0,7492.0,15.35,39.0,53.5,28.0,16.2,40.0,11.46,8.0,5.18
2011-2012,2012-10,Piedmont,32.0,206.0,42346.0,4.86,25.0,9.94,33.0,6.7,119.0,4.69,29.0,3.05
2011-2012,2012-10,Aosta Valley,4.0,22.0,5503.0,4.0,4.0,10.34,4.0,7.39,13.0,4.03,1.0,0.74
2011-2012,2012-10,Lombardy,133.0,860.0,186634.0,4.61,170.0,11.43,173.0,6.83,438.0,4.06,79.0,2.04
2011-2012,2012-10,AP Bolzano,8.0,29.0,13209.0,2.2,4.0,6.61,5.0,2.15,20.0,2.53,0.0,0.0
2011-2012,2012-10,AP Trento,12.0,59.0,17040.0,3.46,10.0,17.18,8.0,5.13,31.0,2.75,10.0,2.75
2011-2012,2012-10,Veneto,77.0,259.0,99714.0,2.6,38.0,5.24,30.0,2.16,160.0,2.79,31.0,1.46
2011-2012,2012-10,Friuli-Venezia Giulia,16.0,124.0,21619.0,5.74,30.0,17.44,29.0,10.23,55.0,4.59,10.0,1.97
2011-2012,2012-10,Liguria,39.0,272.0,47642.0,5.71,33.0,13.03,52.0,11.45,152.0,5.4,35.0,2.81
2011-2012,2012-10,Emilia-Romagna,56.0,262.0,74925.0,3.5,38.0,6.42,49.0,4.5,141.0,3.35,34.0,2.12
2011-2012,2012-10,Tuscany,41.0,251.0,52985.0,4.74,21.0,8.05,53.0,8.79,148.0,4.69,29.0,2.27
2011-2012,2012-10,Umbria,13.0,93.0,16218.0,5.73,18.0,14.41,38.0,14.79,27.0,3.06,10.0,2.81
2011-2012,2012-10,Marche,15.0,110.0,19756.0,5.57,9.0,9.32,18.0,7.73,67.0,5.49,16.0,3.75
2011-2012,2012-10,Lazio,62.0,274.0,79809.0,3.43,61.0,12.19,65.0,7.09,128.0,2.55,20.0,1.29
2011-2012,2012-10,Abruzzo,19.0,80.0,17377.0,4.6,23.0,8.49,21.0,4.59,28.0,3.79,8.0,2.95
2011-2012,2012-10,Molise,14.0,42.0,16004.0,2.62,13.0,6.79,10.0,2.91,16.0,2.03,3.0,1.08
2011-2012,2012-10,Campania,31.0,127.0,38613.0,3.29,39.0,12.04,27.0,3.92,59.0,2.6,2.0,0.34
2011-2012,2012-10,Apulia,106.0,570.0,136037.0,4.19,84.0,9.63,116.0,6.81,306.0,3.59,64.0,2.55
2011-2012,2012-10,Basilicata,2.0,4.0,3014.0,1.33,0.0,0.0,0.0,0.0,3.0,1.29,1.0,1.55
2011-2012,2012-10,Calabria,13.0,149.0,17272.0,8.63,40.0,21.29,56.0,14.44,44.0,4.9,9.0,3.55
2011-2012,2012-10,Sicily,45.0,333.0,57275.0,5.81,30.0,16.01,36.0,9.25,214.0,5.46,53.0,4.29
2011-2012,2012-10,Sardinia,8.0,94.0,8335.0,11.28,33.0,30.99,45.0,18.6,14.0,4.07,2.0,1.41
